Date,Adani Ports and Special Economic Zone Ltd.,Asian Paints Ltd.,Axis Bank Ltd.,Bajaj Auto Ltd.,Bajaj Finance Ltd.,Bajaj Finserv Ltd.,Bharat Petroleum Corporation Ltd.,Bharti Airtel Ltd.,Britannia Industries Ltd.,Cipla Ltd.,Divis Laboratories Ltd.,Dr. Reddys Laboratories Ltd.,Eicher Motors Ltd.,Grasim Industries Ltd.,HCL Technologies Ltd.,HDFC Bank Ltd.,Hero MotoCorp Ltd.,Hindalco Industries Ltd.,Hindustan Unilever Ltd.,Housing Development Finance Corporation Ltd.,ICICI Bank Ltd.,ITC Ltd.,Indian Oil Corporation Ltd.,IndusInd Bank Ltd.,Infosys Ltd.,JSW Steel Ltd.,Kotak Mahindra Bank Ltd.,Larsen & Toubro Ltd.,Mahindra & Mahindra Ltd.,Maruti Suzuki India Ltd.,NTPC Ltd.,Nestle India Ltd.,Oil & Natural Gas Corporation Ltd.,Power Grid Corporation of India Ltd.,Reliance Industries Ltd.,Shree Cement Ltd.,Sun Pharmaceutical Industries Ltd.,Tata Consultancy Services Ltd.,Tata Consumer Products Ltd.,Tata Steel Ltd.,Tech Mahindra Ltd.,Titan Company Ltd.,UPL Ltd.,UltraTech Cement Ltd.,Wipro Ltd.
2011-01-03,145.050003,287.454987,273.529999,1476.5,68.472191,462.150604,109.991669,329.947388,204.675003,372.5,326.274994,1670.5,125.055,364.991333,113.537498,239.050003,1986.599976,246.100006,313.149994,728.200012,208.154541,116.533333,88.400002,264.649994,432.293762,119.110001,228.550003,880.222229,393.774994,1426.050049,165.375,3835.850098,215.46666,73.725021,522.843933,2025.099976,243.649994,579.025024,111.5,670.774231,177.912506,184.342499,112.73333,1087.699951,181.143799
2011-01-04,148.550003,283.619995,269.589996,1429.800049,68.049553,459.989197,108.925003,327.23877,204.800003,379.25,332.649994,1696.25,123.800003,371.900604,115.287498,234.554993,1979.349976,244.100006,320.899994,731.75,200.736359,118.333336,87.199997,255.75,435.181244,116.769997,230.25,878.044434,390.625,1428.75,166.791672,3891.600098,214.508331,73.800018,533.493042,2018.75,244.949997,572.375,113.099998,661.86615,186.149994,182.897507,111.300003,1090.199951,181.74379
2011-01-05,157.600006,288.049988,262.179993,1374.5,67.767792,456.599701,105.425003,320.444244,205,376.350006,333.875,1715.25,123.790001,372.636444,118.087502,230.820007,1903.400024,246.5,325.700012,708.099976,194.427277,119.866669,87.375,249.050003,432.450012,114.75,224.449997,857.111084,385.524994,1412.449951,166.25,3900.949951,211.024994,73.57502,532.849121,1969.900024,244.024994,579.474976,112.300003,648.765991,182.137497,182.0625,108.933334,1072.550049,182.11879
2011-01-06,154.949997,284.950012,261.170013,1327.849976,66.917656,446.529449,103.125,324.300598,200.824997,363.600006,330.024994,1716.349976,120.940002,368.833252,119.425003,232.774994,1886.25,251.350006,320.75,706.900024,191.536362,119.266663,85.387497,243.899994,434.768738,109.955002,222.550003,834.622192,385.625,1373.900024,168.333328,3833.800049,204.550003,74.250015,537.703125,1962.550049,250,585.849976,111,651.004944,182.462494,178.970001,107.833336,1010.849976,182.381302
2011-01-07,147.25,277.575012,256.130005,1316.599976,64.090355,438.031158,102.824997,310.803375,197.899994,357,318,1672.650024,118.910004,370.359192,116.3125,226.945007,1879.849976,233.300003,313.049988,683.900024,190.763641,115,85.9375,230.25,421.34375,102.995003,217.600006,820.555542,370.149994,1340.550049,164.208328,3789.949951,200.975006,73.38752,527.697937,1922.199951,246.675003,571.325012,108.300003,629.997131,176.925003,170.612503,107.066666,987.75,178.856293
2011-01-10,140.399994,267.774994,250.919998,1261.75,62.5504,430.564423,100.891663,311.354279,192.975006,348.100006,311.700012,1654.349976,110.629997,360.498749,116.224998,215.225006,1797.599976,222.100006,309,653.599976,184.363632,113.73333,83.800003,223.550003,424.46875,98.580002,206.449997,791.444458,364.274994,1326,159.416672,3789.5,195.725006,72.112518,511.872955,1873.900024,238.5,565.450012,104.25,619.94574,173.212494,164.597504,103.866669,995.450012,174.225037
2011-01-11,139.050003,270.334991,260.040009,1305.699951,61.75856,424.817017,101.633331,310.757477,187.399994,346.649994,311.024994,1670.900024,110.014999,358.670715,118.824997,214.660004,1845.5,230.600006,307.950012,659.349976,185.990906,113.400002,82.074997,233.449997,415.712494,94.220001,208.949997,791.311096,367.475006,1318.449951,158.125,3811,197.46666,72.037521,502.115448,1873.300049,237.899994,549.25,101.900002,615.991882,170.587494,165.225006,105.466667,1013.700012,175.293793
2011-01-12,139.75,272.630005,262.670013,1286.949951,62.579548,425.160889,103.150002,320.536072,186.925003,346.799988,315.424988,1669.400024,115.154999,373.759613,119.162498,220.529999,1874,237.5,304.899994,680.650024,194.44545,115.833336,79.887497,242.800003,422.162506,99.57,211.875,782.288879,375.625,1317.650024,159.583328,3810.399902,197.774994,72.937515,510.560394,1856.599976,242.625,567.974976,103.75,618.230835,173.8125,179.050003,106.566666,1007.700012,175.387543
2011-01-13,141.399994,271.375,253.089996,1286.550049,62.190914,425.160889,99.650002,318.28653,186,344.5,317.725006,1642.199951,116.904999,381.714569,116.1875,214.300003,1825.75,234.25,302.200012,667.349976,186.545456,115.433334,77.587502,234,400.649994,100.269997,203.324997,777,368.850006,1315.550049,157.5,3762.399902,200.25,72.562515,502.907928,1830.349976,241.550003,562.125,103.25,607.417236,171.625,170.714996,106.633331,1038.650024,170.081299
2011-01-14,139.199997,272.589996,240.320007,1246.800049,61.501095,416.466095,98.974998,315.62381,184.149994,339.5,312.075012,1651.449951,116.099998,380.730835,117.650002,204.955002,1815.050049,230,302.549988,641.75,183.490906,113.699997,77.449997,228.699997,400.537506,96.955002,198.850006,760.022217,369.774994,1269.699951,155.375,3725.5,196.508331,73.20002,496.047974,1813.949951,237.399994,560.075012,104.400002,593.030945,169.412506,170.482498,102.699997,1020.700012,173.662537
